,eco,opening,white,black,white_elo,black_elo,result,time_control,termination,date,moves,num_moves
0,D00,,maximaan,albertsiisiainen,596,447,1-0,900+10,maximaan won by resignation,2025.06.03,"['d4', 'd5', 'Bf4', 'Nf6', 'e3', 'Nc6', 'c3', 'Bf5', 'Bd3', 'Bxd3', 'Qxd3', 'Qd7', 'Na3', 'h6', 'Nb5', 'O-O-O', 'Nf3', 'g5', 'Bxc7', 'Re8', 'Ne5', 'Nxe5', 'Bxe5', 'a6', 'Na7+', 'Kd8', 'h3', 'Bg7', 'Bxf6', 'exf6', 'O-O', 'Qc8']",32
1,B12,,albertsiisiainen,maximaan,442,601,0-1,900+10,maximaan won by resignation,2025.06.03,"['e4', 'c6', 'd4', 'd5', 'e5', 'e6', 'Nf3', 'Ne7', 'h3', 'Nf5', 'g4', 'Nh4', 'Bg5', 'Be7', 'Bxh4', 'Bxh4', 'Nxh4', 'Qxh4', 'Nc3', 'O-O', 'Qf3', 'f5', 'Rg1', 'fxg4', 'Qxg4', 'Qxf2+', 'Kd1', 'g6', 'Ne2', 'b6', 'Qg2']",31
2,A40,,maximaan,albertsiisiainen,590,454,0-1,900+10,albertsiisiainen won by resignation,2025.06.05,"['d4', 'g6', 'Bf4', 'Bg7', 'e3', 'Nc6', 'c3', 'b6', 'Nf3', 'Bb7', 'g3', 'd5', 'Bg2', 'e6', 'Ne5', 'f6', 'Nxc6', 'Bxc6', 'Qd3', 'g5', 'Nd2', 'gxf4', 'gxf4', 'Qd6', 'O-O', 'O-O-O', 'Rfe1', 'Ne7', 'e4', 'Ng6', 'f5', 'Nf4', 'Qg3', 'Rhg8', 'e5', 'fxe5', 'dxe5', 'Bxe5', 'Qe3', 'Nxg2', 'Qxe5', 'Nxe1+', 'Kf1', 'Qxe5', 'Rxe1']",45
3,B13,,albertsiisiainen,maximaan,465,579,1-0,900+10,albertsiisiainen won by checkmate,2025.06.05,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'd4', 'e6', 'Nc3', 'Nc6', 'a3', 'Bd6', 'b4', 'b5', 'Qd3', 'a6', 'Bb2', 'Bb7', 'O-O-O', 'Nf6', 'h3', 'h6', 'g4', 'O-O', 'g5', 'Bf4+', 'Kb1', 'hxg5', 'h4', 'Ne7', 'hxg5', 'Bxg5', 'Nxg5', 'Nf5', 'Qh3', 'Nh6', 'Be2', 'Nh7', 'Nxh7', 'Kxh7', 'Bc1', 'Qf6', 'Bxh6', 'gxh6', 'Bd3+', 'Kh8', 'Rdg1', 'Rg8', 'Qxh6+', 'Qxh6', 'Rxh6#']",51
4,A11,,Ronjih,maximaan,368,583,0-1,1800,maximaan won by checkmate,2025.06.05,"['b3', 'c6', 'c4', 'd5', 'd3', 'e5', 'e4', 'dxe4', 'dxe4', 'Qxd1+', 'Kxd1', 'Bd6', 'Ba3', 'Bxa3', 'Nxa3', 'Nf6', 'f3', 'O-O', 'Ne2', 'Rd8+', 'Ke1', 'Na6', 'g4', 'h6', 'Ng3', 'Nb4', 'Rd1', 'Rxd1+', 'Kxd1', 'Nxa2', 'Nf5', 'Bxf5', 'gxf5', 'Nh5', 'c5', 'Nf4', 'Bc4', 'Nc3+', 'Kc2', 'Nce2', 'Nb1', 'b6', 'b4', 'b5', 'Bb3', 'a5', 'bxa5', 'Rxa5', 'f6', 'Nd4+', 'Kc3', 'Nxb3', 'Kxb3', 'gxf6', 'Rg1+', 'Kh7', 'Kb4', 'Ra4+', 'Kb3', 'h5', 'Nc3', 'Ra8', 'Rd1', 'Kh6', 'Rd7', 'Rf8', 'Rd6', 'Kg5', 'Rxc6', 'Kh4', 'Rxf6', 'Kh3', 'Nxb5', 'Kxh2', 'c6', 'h4', 'c7', 'h3', 'Rxf7', 'Rg8', 'Nd6', 'Kg2', 'Ne8', 'Rxe8', 'Rg7+', 'Kxf3', 'Kc4', 'h2', 'Rh7', 'Kg2', 'Rxh2+', 'Kxh2', 'c8=B', 'Rxc8+', 'Kb5', 'Ng6', 'Kb6', 'Rc1', 'Kb7', 'Re1', 'Kc8', 'Rxe4', 'Kd7', 'Rd4+', 'Ke6', 'e4', 'Kf5', 'e3', 'Kxg6', 'e2', 'Kf5', 'e1=Q', 'Kf6', 'Rd5', 'Kg6', 'Qe4+', 'Kf6', 'Qe5+', 'Kf7', 'Rd6', 'Kg8', 'Qe7', 'Kh8', 'Rd8#']",124
5,B10,,felipedasilva,maximaan,564,591,0-1,900+10,maximaan won by resignation,2025.06.05,"['e4', 'c6', 'Nf3', 'd5', 'd3', 'e6', 'Bg5', 'Be7', 'Qd2', 'Bxg5', 'Qxg5', 'Qxg5', 'Nxg5', 'f6', 'Nf3', 'Nh6', 'exd5', 'cxd5', 'Nc3', 'O-O', 'Nd4', 'Nc6', 'Ndb5', 'a6', 'Nc7', 'Ra7', 'g3', 'b5', 'N7xb5', 'axb5', 'Nxb5', 'Rb7', 'Nc3', 'Nd4', 'O-O-O', 'Ng4', 'Bh3', 'Nxf2', 'Rhe1', 'Nxd1', 'Bxe6+', 'Bxe6', 'Kxd1', 'Rxb2']",44
6,D00,,maximaan,jonas433,583,597,0-1,900+10,jonas433 won by resignation,2025.06.05,"['d4', 'd5', 'Bf4', 'Nc6', 'e3', 'f6', 'Bd3', 'h5', 'h4', 'Bg4', 'Be2', 'f5', 'f3', 'e6', 'fxg4', 'hxg4', 'h5', 'g5', 'hxg6', 'Rxh1', 'Kf2', 'Bh6', 'Bxh6', 'Nxh6', 'g7', 'Qh4+', 'g3', 'Qh2+', 'Ke1', 'Rxg1+', 'Kd2', 'O-O-O', 'Na3', 'Rxd1+', 'Rxd1', 'Nb4', 'Nb5', 'Qxg3', 'Nxa7+', 'Kb8', 'Nb5', 'e5', 'Rh1', 'Nf7', 'Nc3', 'exd4', 'Nxd5', 'Nxd5', 'exd4', 'Qe3+', 'Kd1', 'Qxd4+', 'Bd3', 'Qxb2', 'Rh7', 'Qb1+', 'Kd2', 'Qb4+', 'Kd1', 'Ne3+', 'Ke2', 'f4', 'g8=Q', 'Rxg8', 'Rxf7', 'Qb2', 'Rxf4', 'Re8', 'Kf2', 'Qc1', 'Bg6', 'Qf1+', 'Kg3', 'Qg2+', 'Kh4', 'Qh3+', 'Kg5', 'Rg8', 'Rf6', 'Rh8', 'Kf4', 'Nd5+', 'Kf5', 'Nxf6', 'Kxf6', 'Rf8+', 'Bf7', 'Qf3+', 'Kg5', 'Rxf7']",90
7,A10,,maximaan,albertsiisiainen,256,456,0-1,900+10,albertsiisiainen won by resignation,2025.06.05,"['c4', 'a5', 'a4', 'Qa6', 'b3', 'Nf6', 'c5', 'b5', 'axb5', 'Qxb5', 'Qc3', 'Nd5', 'Qc4', 'a4', 'd3', 'a3', 'Qxb5', 'Rxb5', 'd4', 'e5', 'e3', 'exd4', 'exd4', 'Bf6', 'Bc3', 'Nxc3', 'Ra1', 'a2', 'Ne2', 'Nxe2+', 'Bxe2', 'Ra5', 'Rd1', 'Ng6', 'b4', 'Ra4', 'Ng3', 'Nf4', 'Bd3', 'Nd5', 'b5', 'Bxd4', 'Rxa2', 'Rxa2', 'Bc4', 'Ra1+', 'Kd2', 'Rxd1+', 'Kxd1', 'Nc3+', 'Kd2', 'Na4', 'Kd3', 'Bxf2', 'Ne4', 'Bxc5', 'Nxc5', 'Nxc5+', 'Kd4', 'Ne6+', 'Kd5']",61
8,A40,,maximaan,albertsiisiainen,583,465,1/2-1/2,900+10,Game drawn by agreement,2025.06.06,"['d4', 'h5', 'g4', 'h4', 'g5']",5
9,A20,,albertsiisiainen,maximaan,476,572,1-0,900+10,albertsiisiainen won by checkmate,2025.06.06,"['c4', 'e5', 'g3', 'f5', 'd4', 'd6', 'dxe5', 'Nc6', 'exd6', 'cxd6', 'Nc3', 'b6', 'Bg2', 'Bb7', 'Nf3', 'Qf6', 'Qa4', 'b5', 'Qxb5', 'Ne7', 'Qxb7', 'Rb8', 'Qa6', 'Nb4', 'Qa4+', 'Nbc6', 'Nh4', 'g6', 'Nd5', 'Qf7', 'Nxe7', 'Bxe7', 'Qxc6+', 'Kf8', 'O-O', 'Kg7', 'Bf4', 'Rhc8', 'Qd5', 'Rxc4', 'Qxf7+', 'Kxf7', 'Rac1', 'Rbc8', 'Rxc4', 'Rxc4', 'Bd5+', 'Kf6', 'Bxc4', 'g5', 'Bxg5+', 'Kxg5', 'f4+', 'Kg4', 'Be6', 'Bxh4', 'Rd1', 'h5', 'Rd5', 'Bxg3', 'Bxf5+', 'Kxf4', 'Bg6', 'h4', 'Rxd6', 'Ke3', 'hxg3', 'hxg3', 'Rf6', 'Kxe2', 'Bc2', 'Ke3', 'Kg2', 'Ke2', 'Kxg3', 'Kd2', 'Rc6', 'Kc1', 'b4', 'Kb2', 'b5', 'Kxa2', 'Ra6+', 'Kb2', 'Rxa7', 'Kxc2', 'b6', 'Kc1', 'b7', 'Kd1', 'b8=Q', 'Ke1', 'Rc7', 'Kf1', 'Qc8', 'Kg1', 'Rc1#']",97
